packet_index,timestamp,frame_length,ethernet_src,ethernet_dst,src_ip,dst_ip,protocol,ttl,src_port,dst_port,summary
14,2026-02-24T16:00:14+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41014,443,synthetic TCP packet 93.184.216.10:41014 > 93.184.216.11:443
15,2026-02-24T16:00:15+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41015,443,synthetic TCP packet 93.184.216.10:41015 > 93.184.216.11:443
16,2026-02-24T16:00:16+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41016,443,synthetic TCP packet 93.184.216.10:41016 > 93.184.216.11:443
17,2026-02-24T16:00:17+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41017,443,synthetic TCP packet 93.184.216.10:41017 > 93.184.216.11:443
18,2026-02-24T16:00:18+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41018,443,synthetic TCP packet 93.184.216.10:41018 > 93.184.216.11:443
19,2026-02-24T16:00:19+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41019,443,synthetic TCP packet 93.184.216.10:41019 > 93.184.216.11:443
20,2026-02-24T16:00:20+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41020,443,synthetic TCP packet 93.184.216.10:41020 > 93.184.216.11:443
21,2026-02-24T16:00:21+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41021,443,synthetic TCP packet 93.184.216.10:41021 > 93.184.216.11:443
22,2026-02-24T16:00:22+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41022,443,synthetic TCP packet 93.184.216.10:41022 > 93.184.216.11:443
23,2026-02-24T16:00:23+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41023,443,synthetic TCP packet 93.184.216.10:41023 > 93.184.216.11:443
24,2026-02-24T16:00:24+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41024,443,synthetic TCP packet 93.184.216.10:41024 > 93.184.216.11:443
25,2026-02-24T16:00:25+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41025,443,synthetic TCP packet 93.184.216.10:41025 > 93.184.216.11:443
26,2026-02-24T16:00:26+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41026,443,synthetic TCP packet 93.184.216.10:41026 > 93.184.216.11:443
27,2026-02-24T16:00:27+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41027,443,synthetic TCP packet 93.184.216.10:41027 > 93.184.216.11:443
28,2026-02-24T16:00:28+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41028,443,synthetic TCP packet 93.184.216.10:41028 > 93.184.216.11:443
29,2026-02-24T16:00:29+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41029,443,synthetic TCP packet 93.184.216.10:41029 > 93.184.216.11:443
30,2026-02-24T16:00:30+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41030,443,synthetic TCP packet 93.184.216.10:41030 > 93.184.216.11:443
31,2026-02-24T16:00:31+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41031,443,synthetic TCP packet 93.184.216.10:41031 > 93.184.216.11:443
32,2026-02-24T16:00:32+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41032,443,synthetic TCP packet 93.184.216.10:41032 > 93.184.216.11:443
33,2026-02-24T16:00:33+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41033,443,synthetic TCP packet 93.184.216.10:41033 > 93.184.216.11:443
34,2026-02-24T16:00:34+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41034,443,synthetic TCP packet 93.184.216.10:41034 > 93.184.216.11:443
35,2026-02-24T16:00:35+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41035,443,synthetic TCP packet 93.184.216.10:41035 > 93.184.216.11:443
36,2026-02-24T16:00:36+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41036,443,synthetic TCP packet 93.184.216.10:41036 > 93.184.216.11:443
37,2026-02-24T16:00:37+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41037,443,synthetic TCP packet 93.184.216.10:41037 > 93.184.216.11:443
38,2026-02-24T16:00:38+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41038,443,synthetic TCP packet 93.184.216.10:41038 > 93.184.216.11:443
39,2026-02-24T16:00:39+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41039,443,synthetic TCP packet 93.184.216.10:41039 > 93.184.216.11:443
40,2026-02-24T16:00:40+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41040,443,synthetic TCP packet 93.184.216.10:41040 > 93.184.216.11:443
41,2026-02-24T16:00:41+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41041,443,synthetic TCP packet 93.184.216.10:41041 > 93.184.216.11:443
42,2026-02-24T16:00:42+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41042,443,synthetic TCP packet 93.184.216.10:41042 > 93.184.216.11:443
43,2026-02-24T16:00:43+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41043,443,synthetic TCP packet 93.184.216.10:41043 > 93.184.216.11:443
44,2026-02-24T16:00:44+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41044,443,synthetic TCP packet 93.184.216.10:41044 > 93.184.216.11:443
45,2026-02-24T16:00:45+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41045,443,synthetic TCP packet 93.184.216.10:41045 > 93.184.216.11:443
46,2026-02-24T16:00:46+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41046,443,synthetic TCP packet 93.184.216.10:41046 > 93.184.216.11:443
47,2026-02-24T16:00:47+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41047,443,synthetic TCP packet 93.184.216.10:41047 > 93.184.216.11:443
48,2026-02-24T16:00:48+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41048,443,synthetic TCP packet 93.184.216.10:41048 > 93.184.216.11:443
49,2026-02-24T16:00:49+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41049,443,synthetic TCP packet 93.184.216.10:41049 > 93.184.216.11:443
50,2026-02-24T16:00:50+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41050,443,synthetic TCP packet 93.184.216.10:41050 > 93.184.216.11:443
51,2026-02-24T16:00:51+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41051,443,synthetic TCP packet 93.184.216.10:41051 > 93.184.216.11:443
52,2026-02-24T16:00:52+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41052,443,synthetic TCP packet 93.184.216.10:41052 > 93.184.216.11:443
53,2026-02-24T16:00:53+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41053,443,synthetic TCP packet 93.184.216.10:41053 > 93.184.216.11:443
54,2026-02-24T16:00:54+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41054,443,synthetic TCP packet 93.184.216.10:41054 > 93.184.216.11:443
55,2026-02-24T16:00:55+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41055,443,synthetic TCP packet 93.184.216.10:41055 > 93.184.216.11:443
56,2026-02-24T16:00:56+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41056,443,synthetic TCP packet 93.184.216.10:41056 > 93.184.216.11:443
57,2026-02-24T16:00:57+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41057,443,synthetic TCP packet 93.184.216.10:41057 > 93.184.216.11:443
58,2026-02-24T16:00:58+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41058,443,synthetic TCP packet 93.184.216.10:41058 > 93.184.216.11:443
59,2026-02-24T16:00:59+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41059,443,synthetic TCP packet 93.184.216.10:41059 > 93.184.216.11:443
60,2026-02-24T16:01:00+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41060,443,synthetic TCP packet 93.184.216.10:41060 > 93.184.216.11:443
61,2026-02-24T16:01:01+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41061,443,synthetic TCP packet 93.184.216.10:41061 > 93.184.216.11:443
62,2026-02-24T16:01:02+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41062,443,synthetic TCP packet 93.184.216.10:41062 > 93.184.216.11:443
63,2026-02-24T16:01:03+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41063,443,synthetic TCP packet 93.184.216.10:41063 > 93.184.216.11:443
64,2026-02-24T16:01:04+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41064,443,synthetic TCP packet 93.184.216.10:41064 > 93.184.216.11:443
65,2026-02-24T16:01:05+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41065,443,synthetic TCP packet 93.184.216.10:41065 > 93.184.216.11:443
66,2026-02-24T16:01:06+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41066,443,synthetic TCP packet 93.184.216.10:41066 > 93.184.216.11:443
67,2026-02-24T16:01:07+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41067,443,synthetic TCP packet 93.184.216.10:41067 > 93.184.216.11:443
68,2026-02-24T16:01:08+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41068,443,synthetic TCP packet 93.184.216.10:41068 > 93.184.216.11:443
69,2026-02-24T16:01:09+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41069,443,synthetic TCP packet 93.184.216.10:41069 > 93.184.216.11:443
70,2026-02-24T16:01:10+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41070,443,synthetic TCP packet 93.184.216.10:41070 > 93.184.216.11:443
71,2026-02-24T16:01:11+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41071,443,synthetic TCP packet 93.184.216.10:41071 > 93.184.216.11:443
72,2026-02-24T16:01:12+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41072,443,synthetic TCP packet 93.184.216.10:41072 > 93.184.216.11:443
73,2026-02-24T16:01:13+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41073,443,synthetic TCP packet 93.184.216.10:41073 > 93.184.216.11:443
74,2026-02-24T16:01:14+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41074,443,synthetic TCP packet 93.184.216.10:41074 > 93.184.216.11:443
75,2026-02-24T16:01:15+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41075,443,synthetic TCP packet 93.184.216.10:41075 > 93.184.216.11:443
76,2026-02-24T16:01:16+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41076,443,synthetic TCP packet 93.184.216.10:41076 > 93.184.216.11:443
77,2026-02-24T16:01:17+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41077,443,synthetic TCP packet 93.184.216.10:41077 > 93.184.216.11:443
78,2026-02-24T16:01:18+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41078,443,synthetic TCP packet 93.184.216.10:41078 > 93.184.216.11:443
79,2026-02-24T16:01:19+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41079,443,synthetic TCP packet 93.184.216.10:41079 > 93.184.216.11:443
80,2026-02-24T16:01:20+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41080,443,synthetic TCP packet 93.184.216.10:41080 > 93.184.216.11:443
81,2026-02-24T16:01:21+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41081,443,synthetic TCP packet 93.184.216.10:41081 > 93.184.216.11:443
82,2026-02-24T16:01:22+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41082,443,synthetic TCP packet 93.184.216.10:41082 > 93.184.216.11:443
83,2026-02-24T16:01:23+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41083,443,synthetic TCP packet 93.184.216.10:41083 > 93.184.216.11:443
84,2026-02-24T16:01:24+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41084,443,synthetic TCP packet 93.184.216.10:41084 > 93.184.216.11:443
85,2026-02-24T16:01:25+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41085,443,synthetic TCP packet 93.184.216.10:41085 > 93.184.216.11:443
86,2026-02-24T16:01:26+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41086,443,synthetic TCP packet 93.184.216.10:41086 > 93.184.216.11:443
87,2026-02-24T16:01:27+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41087,443,synthetic TCP packet 93.184.216.10:41087 > 93.184.216.11:443
88,2026-02-24T16:01:28+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41088,443,synthetic TCP packet 93.184.216.10:41088 > 93.184.216.11:443
89,2026-02-24T16:01:29+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41089,443,synthetic TCP packet 93.184.216.10:41089 > 93.184.216.11:443
90,2026-02-24T16:01:30+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41090,443,synthetic TCP packet 93.184.216.10:41090 > 93.184.216.11:443
91,2026-02-24T16:01:31+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41091,443,synthetic TCP packet 93.184.216.10:41091 > 93.184.216.11:443
92,2026-02-24T16:01:32+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41092,443,synthetic TCP packet 93.184.216.10:41092 > 93.184.216.11:443
93,2026-02-24T16:01:33+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41093,443,synthetic TCP packet 93.184.216.10:41093 > 93.184.216.11:443
94,2026-02-24T16:01:34+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41094,443,synthetic TCP packet 93.184.216.10:41094 > 93.184.216.11:443
95,2026-02-24T16:01:35+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41095,443,synthetic TCP packet 93.184.216.10:41095 > 93.184.216.11:443
96,2026-02-24T16:01:36+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41096,443,synthetic TCP packet 93.184.216.10:41096 > 93.184.216.11:443
97,2026-02-24T16:01:37+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41097,443,synthetic TCP packet 93.184.216.10:41097 > 93.184.216.11:443
98,2026-02-24T16:01:38+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41098,443,synthetic TCP packet 93.184.216.10:41098 > 93.184.216.11:443
99,2026-02-24T16:01:39+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41099,443,synthetic TCP packet 93.184.216.10:41099 > 93.184.216.11:443
100,2026-02-24T16:01:40+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41100,443,synthetic TCP packet 93.184.216.10:41100 > 93.184.216.11:443
101,2026-02-24T16:01:41+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41101,443,synthetic TCP packet 93.184.216.10:41101 > 93.184.216.11:443
102,2026-02-24T16:01:42+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41102,443,synthetic TCP packet 93.184.216.10:41102 > 93.184.216.11:443
103,2026-02-24T16:01:43+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41103,443,synthetic TCP packet 93.184.216.10:41103 > 93.184.216.11:443
104,2026-02-24T16:01:44+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41104,443,synthetic TCP packet 93.184.216.10:41104 > 93.184.216.11:443
105,2026-02-24T16:01:45+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41105,443,synthetic TCP packet 93.184.216.10:41105 > 93.184.216.11:443
106,2026-02-24T16:01:46+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41106,443,synthetic TCP packet 93.184.216.10:41106 > 93.184.216.11:443
107,2026-02-24T16:01:47+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41107,443,synthetic TCP packet 93.184.216.10:41107 > 93.184.216.11:443
108,2026-02-24T16:01:48+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41108,443,synthetic TCP packet 93.184.216.10:41108 > 93.184.216.11:443
109,2026-02-24T16:01:49+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41109,443,synthetic TCP packet 93.184.216.10:41109 > 93.184.216.11:443
110,2026-02-24T16:01:50+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41110,443,synthetic TCP packet 93.184.216.10:41110 > 93.184.216.11:443
111,2026-02-24T16:01:51+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41111,443,synthetic TCP packet 93.184.216.10:41111 > 93.184.216.11:443
112,2026-02-24T16:01:52+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41112,443,synthetic TCP packet 93.184.216.10:41112 > 93.184.216.11:443
113,2026-02-24T16:01:53+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41113,443,synthetic TCP packet 93.184.216.10:41113 > 93.184.216.11:443
114,2026-02-24T16:01:54+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41114,443,synthetic TCP packet 93.184.216.10:41114 > 93.184.216.11:443
115,2026-02-24T16:01:55+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41115,443,synthetic TCP packet 93.184.216.10:41115 > 93.184.216.11:443
116,2026-02-24T16:01:56+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41116,443,synthetic TCP packet 93.184.216.10:41116 > 93.184.216.11:443
117,2026-02-24T16:01:57+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41117,443,synthetic TCP packet 93.184.216.10:41117 > 93.184.216.11:443
118,2026-02-24T16:01:58+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41118,443,synthetic TCP packet 93.184.216.10:41118 > 93.184.216.11:443
119,2026-02-24T16:01:59+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41119,443,synthetic TCP packet 93.184.216.10:41119 > 93.184.216.11:443
120,2026-02-24T16:02:00+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41120,443,synthetic TCP packet 93.184.216.10:41120 > 93.184.216.11:443
121,2026-02-24T16:02:01+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41121,443,synthetic TCP packet 93.184.216.10:41121 > 93.184.216.11:443
122,2026-02-24T16:02:02+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41122,443,synthetic TCP packet 93.184.216.10:41122 > 93.184.216.11:443
123,2026-02-24T16:02:03+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41123,443,synthetic TCP packet 93.184.216.10:41123 > 93.184.216.11:443
124,2026-02-24T16:02:04+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41124,443,synthetic TCP packet 93.184.216.10:41124 > 93.184.216.11:443
125,2026-02-24T16:02:05+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41125,443,synthetic TCP packet 93.184.216.10:41125 > 93.184.216.11:443
126,2026-02-24T16:02:06+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41126,443,synthetic TCP packet 93.184.216.10:41126 > 93.184.216.11:443
127,2026-02-24T16:02:07+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41127,443,synthetic TCP packet 93.184.216.10:41127 > 93.184.216.11:443
128,2026-02-24T16:02:08+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41128,443,synthetic TCP packet 93.184.216.10:41128 > 93.184.216.11:443
129,2026-02-24T16:02:09+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41129,443,synthetic TCP packet 93.184.216.10:41129 > 93.184.216.11:443
130,2026-02-24T16:02:10+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41130,443,synthetic TCP packet 93.184.216.10:41130 > 93.184.216.11:443
131,2026-02-24T16:02:11+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41131,443,synthetic TCP packet 93.184.216.10:41131 > 93.184.216.11:443
132,2026-02-24T16:02:12+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,93.184.216.10,93.184.216.11,TCP,128,41132,443,synthetic TCP packet 93.184.216.10:41132 > 93.184.216.11:443
