packet_index,timestamp,frame_length,ethernet_src,ethernet_dst,version,header_length,dscp_ecn,total_length,identification,flags,fragment_offset,ttl,protocol,header_checksum,src_ip,dst_ip,src_port,dst_port,payload_length
52,2026-02-22T16:00:01.924000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1052,DF,0,128,TCP,0x8904,93.184.216.10,93.184.216.11,41052,443,573
53,2026-02-22T16:00:01.961000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1053,DF,0,128,TCP,0x8903,93.184.216.10,93.184.216.11,41053,443,573
54,2026-02-22T16:00:01.998000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1054,DF,0,128,TCP,0x8902,93.184.216.10,93.184.216.11,41054,443,573
55,2026-02-22T16:00:02.035000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1055,DF,0,128,TCP,0x8901,93.184.216.10,93.184.216.11,41055,443,573
56,2026-02-22T16:00:02.072000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1056,DF,0,128,TCP,0x8900,93.184.216.10,93.184.216.11,41056,443,573
57,2026-02-22T16:00:02.109000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1057,DF,0,128,TCP,0x88ff,93.184.216.10,93.184.216.11,41057,443,573
58,2026-02-22T16:00:02.146000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1058,DF,0,128,TCP,0x88fe,93.184.216.10,93.184.216.11,41058,443,573
59,2026-02-22T16:00:02.183000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1059,DF,0,128,TCP,0x88fd,93.184.216.10,93.184.216.11,41059,443,573
60,2026-02-22T16:00:02.220000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1060,DF,0,128,TCP,0x88fc,93.184.216.10,93.184.216.11,41060,443,573
61,2026-02-22T16:00:02.257000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1061,DF,0,128,TCP,0x88fb,93.184.216.10,93.184.216.11,41061,443,573
62,2026-02-22T16:00:02.294000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1062,DF,0,128,TCP,0x88fa,93.184.216.10,93.184.216.11,41062,443,573
63,2026-02-22T16:00:02.331000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1063,DF,0,128,TCP,0x88f9,93.184.216.10,93.184.216.11,41063,443,573
64,2026-02-22T16:00:02.368000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1064,DF,0,128,TCP,0x88f8,93.184.216.10,93.184.216.11,41064,443,573
65,2026-02-22T16:00:02.405000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1065,DF,0,128,TCP,0x88f7,93.184.216.10,93.184.216.11,41065,443,573
66,2026-02-22T16:00:02.442000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1066,DF,0,128,TCP,0x88f6,93.184.216.10,93.184.216.11,41066,443,573
67,2026-02-22T16:00:02.479000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1067,DF,0,128,TCP,0x88f5,93.184.216.10,93.184.216.11,41067,443,573
68,2026-02-22T16:00:02.516000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1068,DF,0,128,TCP,0x88f4,93.184.216.10,93.184.216.11,41068,443,573
69,2026-02-22T16:00:02.553000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1069,DF,0,128,TCP,0x88f3,93.184.216.10,93.184.216.11,41069,443,573
70,2026-02-22T16:00:02.590000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1070,DF,0,128,TCP,0x88f2,93.184.216.10,93.184.216.11,41070,443,573
71,2026-02-22T16:00:02.627000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1071,DF,0,128,TCP,0x88f1,93.184.216.10,93.184.216.11,41071,443,573
72,2026-02-22T16:00:02.664000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1072,DF,0,128,TCP,0x88f0,93.184.216.10,93.184.216.11,41072,443,573
73,2026-02-22T16:00:02.701000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1073,DF,0,128,TCP,0x88ef,93.184.216.10,93.184.216.11,41073,443,573
74,2026-02-22T16:00:02.738000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1074,DF,0,128,TCP,0x88ee,93.184.216.10,93.184.216.11,41074,443,573
75,2026-02-22T16:00:02.775000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1075,DF,0,128,TCP,0x88ed,93.184.216.10,93.184.216.11,41075,443,573
76,2026-02-22T16:00:02.812000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1076,DF,0,128,TCP,0x88ec,93.184.216.10,93.184.216.11,41076,443,573
77,2026-02-22T16:00:02.849000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1077,DF,0,128,TCP,0x88eb,93.184.216.10,93.184.216.11,41077,443,573
78,2026-02-22T16:00:02.886000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1078,DF,0,128,TCP,0x88ea,93.184.216.10,93.184.216.11,41078,443,573
79,2026-02-22T16:00:02.923000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1079,DF,0,128,TCP,0x88e9,93.184.216.10,93.184.216.11,41079,443,573
80,2026-02-22T16:00:02.960000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1080,DF,0,128,TCP,0x88e8,93.184.216.10,93.184.216.11,41080,443,573
81,2026-02-22T16:00:02.997000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1081,DF,0,128,TCP,0x88e7,93.184.216.10,93.184.216.11,41081,443,573
82,2026-02-22T16:00:03.034000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1082,DF,0,128,TCP,0x88e6,93.184.216.10,93.184.216.11,41082,443,573
83,2026-02-22T16:00:03.071000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1083,DF,0,128,TCP,0x88e5,93.184.216.10,93.184.216.11,41083,443,573
84,2026-02-22T16:00:03.108000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1084,DF,0,128,TCP,0x88e4,93.184.216.10,93.184.216.11,41084,443,573
85,2026-02-22T16:00:03.145000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1085,DF,0,128,TCP,0x88e3,93.184.216.10,93.184.216.11,41085,443,573
86,2026-02-22T16:00:03.182000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1086,DF,0,128,TCP,0x88e2,93.184.216.10,93.184.216.11,41086,443,573
87,2026-02-22T16:00:03.219000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1087,DF,0,128,TCP,0x88e1,93.184.216.10,93.184.216.11,41087,443,573
88,2026-02-22T16:00:03.256000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1088,DF,0,128,TCP,0x88e0,93.184.216.10,93.184.216.11,41088,443,573
89,2026-02-22T16:00:03.293000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1089,DF,0,128,TCP,0x88df,93.184.216.10,93.184.216.11,41089,443,573
90,2026-02-22T16:00:03.330000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1090,DF,0,128,TCP,0x88de,93.184.216.10,93.184.216.11,41090,443,573
91,2026-02-22T16:00:03.367000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1091,DF,0,128,TCP,0x88dd,93.184.216.10,93.184.216.11,41091,443,573
92,2026-02-22T16:00:03.404000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1092,DF,0,128,TCP,0x88dc,93.184.216.10,93.184.216.11,41092,443,573
93,2026-02-22T16:00:03.441000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1093,DF,0,128,TCP,0x88db,93.184.216.10,93.184.216.11,41093,443,573
94,2026-02-22T16:00:03.478000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1094,DF,0,128,TCP,0x88da,93.184.216.10,93.184.216.11,41094,443,573
95,2026-02-22T16:00:03.515000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1095,DF,0,128,TCP,0x88d9,93.184.216.10,93.184.216.11,41095,443,573
96,2026-02-22T16:00:03.552000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1096,DF,0,128,TCP,0x88d8,93.184.216.10,93.184.216.11,41096,443,573
97,2026-02-22T16:00:03.589000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1097,DF,0,128,TCP,0x88d7,93.184.216.10,93.184.216.11,41097,443,573
98,2026-02-22T16:00:03.626000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1098,DF,0,128,TCP,0x88d6,93.184.216.10,93.184.216.11,41098,443,573
99,2026-02-22T16:00:03.663000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1099,DF,0,128,TCP,0x88d5,93.184.216.10,93.184.216.11,41099,443,573
100,2026-02-22T16:00:03.700000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1100,DF,0,128,TCP,0x88d4,93.184.216.10,93.184.216.11,41100,443,573
101,2026-02-22T16:00:03.737000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1101,DF,0,128,TCP,0x88d3,93.184.216.10,93.184.216.11,41101,443,573
102,2026-02-22T16:00:03.774000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1102,DF,0,128,TCP,0x88d2,93.184.216.10,93.184.216.11,41102,443,573
103,2026-02-22T16:00:03.811000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1103,DF,0,128,TCP,0x88d1,93.184.216.10,93.184.216.11,41103,443,573
104,2026-02-22T16:00:03.848000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1104,DF,0,128,TCP,0x88d0,93.184.216.10,93.184.216.11,41104,443,573
105,2026-02-22T16:00:03.885000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1105,DF,0,128,TCP,0x88cf,93.184.216.10,93.184.216.11,41105,443,573
106,2026-02-22T16:00:03.922000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1106,DF,0,128,TCP,0x88ce,93.184.216.10,93.184.216.11,41106,443,573
107,2026-02-22T16:00:03.959000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1107,DF,0,128,TCP,0x88cd,93.184.216.10,93.184.216.11,41107,443,573
108,2026-02-22T16:00:03.996000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1108,DF,0,128,TCP,0x88cc,93.184.216.10,93.184.216.11,41108,443,573
109,2026-02-22T16:00:04.033000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1109,DF,0,128,TCP,0x88cb,93.184.216.10,93.184.216.11,41109,443,573
110,2026-02-22T16:00:04.070000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1110,DF,0,128,TCP,0x88ca,93.184.216.10,93.184.216.11,41110,443,573
111,2026-02-22T16:00:04.107000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1111,DF,0,128,TCP,0x88c9,93.184.216.10,93.184.216.11,41111,443,573
112,2026-02-22T16:00:04.144000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1112,DF,0,128,TCP,0x88c8,93.184.216.10,93.184.216.11,41112,443,573
113,2026-02-22T16:00:04.181000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1113,DF,0,128,TCP,0x88c7,93.184.216.10,93.184.216.11,41113,443,573
114,2026-02-22T16:00:04.218000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1114,DF,0,128,TCP,0x88c6,93.184.216.10,93.184.216.11,41114,443,573
115,2026-02-22T16:00:04.255000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1115,DF,0,128,TCP,0x88c5,93.184.216.10,93.184.216.11,41115,443,573
116,2026-02-22T16:00:04.292000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1116,DF,0,128,TCP,0x88c4,93.184.216.10,93.184.216.11,41116,443,573
117,2026-02-22T16:00:04.329000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1117,DF,0,128,TCP,0x88c3,93.184.216.10,93.184.216.11,41117,443,573
118,2026-02-22T16:00:04.366000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1118,DF,0,128,TCP,0x88c2,93.184.216.10,93.184.216.11,41118,443,573
119,2026-02-22T16:00:04.403000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1119,DF,0,128,TCP,0x88c1,93.184.216.10,93.184.216.11,41119,443,573
120,2026-02-22T16:00:04.440000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1120,DF,0,128,TCP,0x88c0,93.184.216.10,93.184.216.11,41120,443,573
121,2026-02-22T16:00:04.477000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1121,DF,0,128,TCP,0x88bf,93.184.216.10,93.184.216.11,41121,443,573
122,2026-02-22T16:00:04.514000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1122,DF,0,128,TCP,0x88be,93.184.216.10,93.184.216.11,41122,443,573
123,2026-02-22T16:00:04.551000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1123,DF,0,128,TCP,0x88bd,93.184.216.10,93.184.216.11,41123,443,573
124,2026-02-22T16:00:04.588000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1124,DF,0,128,TCP,0x88bc,93.184.216.10,93.184.216.11,41124,443,573
125,2026-02-22T16:00:04.625000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1125,DF,0,128,TCP,0x88bb,93.184.216.10,93.184.216.11,41125,443,573
126,2026-02-22T16:00:04.662000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1126,DF,0,128,TCP,0x88ba,93.184.216.10,93.184.216.11,41126,443,573
127,2026-02-22T16:00:04.699000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1127,DF,0,128,TCP,0x88b9,93.184.216.10,93.184.216.11,41127,443,573
128,2026-02-22T16:00:04.736000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1128,DF,0,128,TCP,0x88b8,93.184.216.10,93.184.216.11,41128,443,573
129,2026-02-22T16:00:04.773000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1129,DF,0,128,TCP,0x88b7,93.184.216.10,93.184.216.11,41129,443,573
130,2026-02-22T16:00:04.810000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1130,DF,0,128,TCP,0x88b6,93.184.216.10,93.184.216.11,41130,443,573
131,2026-02-22T16:00:04.847000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1131,DF,0,128,TCP,0x88b5,93.184.216.10,93.184.216.11,41131,443,573
132,2026-02-22T16:00:04.884000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1132,DF,0,128,TCP,0x88b4,93.184.216.10,93.184.216.11,41132,443,573
133,2026-02-22T16:00:04.921000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1133,DF,0,128,TCP,0x88b3,93.184.216.10,93.184.216.11,41133,443,573
134,2026-02-22T16:00:04.958000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1134,DF,0,128,TCP,0x88b2,93.184.216.10,93.184.216.11,41134,443,573
135,2026-02-22T16:00:04.995000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1135,DF,0,128,TCP,0x88b1,93.184.216.10,93.184.216.11,41135,443,573
136,2026-02-22T16:00:05.032000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1136,DF,0,128,TCP,0x88b0,93.184.216.10,93.184.216.11,41136,443,573
137,2026-02-22T16:00:05.069000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1137,DF,0,128,TCP,0x88af,93.184.216.10,93.184.216.11,41137,443,573
138,2026-02-22T16:00:05.106000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1138,DF,0,128,TCP,0x88ae,93.184.216.10,93.184.216.11,41138,443,573
139,2026-02-22T16:00:05.143000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1139,DF,0,128,TCP,0x88ad,93.184.216.10,93.184.216.11,41139,443,573
140,2026-02-22T16:00:05.180000+08:00,607,02:00:00:00:00:02,02:00:00:00:00:01,4,20,0,593,1140,DF,0,128,TCP,0x88ac,93.184.216.10,93.184.216.11,41140,443,573
